position,surname,constructorposition,driverstandingposition,qualfyingposition,raceid
1,Verstappen,1,1,1,1080
2,Pérez,1,2,2,1080
19,Leclerc,4,19,3,1080
4,Sainz,4,4,4,1080
3,Alonso,2,3,5,1080
7,Russell,3,7,6,1080
5,Hamilton,3,5,7,1080
6,Stroll,2,6,8,1080
18,Ocon,6,18,9,1080
15,Hülkenberg,9,15,10,1080
17,Norris,10,17,11,1080
8,Bottas,5,8,12,1080
16,Zhou,5,16,13,1080
11,Tsunoda,8,11,14,1080
10,Albon,7,10,15,1080
12,Sargeant,7,12,16,1080
13,Magnussen,9,13,17,1080
20,Piastri,10,20,18,1080
14,de Vries,8,14,19,1080
9,Gasly,6,9,20,1080
1,Pérez,1,2,1,1081
7,Leclerc,4,8,2,1081
3,Alonso,2,3,3,1081
4,Russell,3,6,4,1081
6,Sainz,4,4,5,1081
20,Stroll,2,7,6,1081
8,Ocon,5,10,7,1081
5,Hamilton,3,5,8,1081
15,Piastri,10,19,9,1081
9,Gasly,5,11,10,1081
12,Hülkenberg,7,15,11,1081
13,Zhou,6,17,12,1081
10,Magnussen,7,12,13,1081
18,Bottas,6,9,14,1081
2,Verstappen,1,1,15,1081
11,Tsunoda,9,14,16,1081
19,Albon,8,13,17,1081
14,de Vries,9,18,18,1081
17,Norris,10,20,19,1081
16,Sargeant,8,16,20,1081
1,Verstappen,1,1,1,1082
18,Russell,3,7,2,1082
2,Hamilton,3,4,3,1082
3,Alonso,2,3,4,1082
12,Sainz,4,5,5,1082
4,Stroll,2,6,6,1082
20,Leclerc,4,10,7,1082
19,Albon,10,18,8,1082
13,Gasly,6,14,9,1082
7,Hülkenberg,7,9,10,1082
14,Ocon,6,12,11,1082
10,Tsunoda,9,16,12,1082
6,Norris,5,8,13,1082
17,Magnussen,7,17,14,1082
15,de Vries,9,20,15,1082
8,Piastri,5,13,16,1082
9,Zhou,8,15,17,1082
16,Sargeant,10,19,18,1082
11,Bottas,8,11,19,1082
5,Pérez,1,2,20,1082
